Language_ID,Language_name,Parameter,Value,Description
eng,English,Number of Possessive Nouns,None reported,None reported
eng,English,Fixed Stress Locations,No fixed stress,No fixed stress (mostly weight-sensitive stress)
eng,English,Reason Clauses,Balanced/deranked,Balanced/deranked
eng,English,'When' Clauses,Balanced/deranked,Balanced/deranked
eng,English,Glottalized Consonants,No glottalized consonants,No glottalized consonants
eng,English,Productivity of the Antipassive Construction,no antipassive,no antipassive
eng,English,The Prohibitive,Normal imperative + normal negative,The prohibitive uses the verbal construction of the second singular imperative and a sentential negative strategy found in (indicative) declaratives
eng,English,Syllable Structure,Complex,Complex syllable structure
eng,English,Tone,No tones,No tones
eng,English,Fusion of Selected Inflectional Formatives,Exclusively concatenative,Exclusively concatenative
eng,English,Third Person Pronouns and Demonstratives,Related for all demonstratives,Third person pronouns and demonstratives are related to all demonstratives
eng,English,Exponence of Selected Inflectional Formatives,No case,No case
eng,English,Consonant-Vowel Ratio,Low,Low
eng,English,The Velar Nasal,No initial velar nasal,"Velar nasal, but not initially"
eng,English,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,VO and AdjN,Verb-object and adjective-noun (VO&AdjN)
eng,English,Action Nominal Constructions,Mixed,Mixed: Several patterns in the same language
eng,English,Syncretism in Verbal Person/Number Marking,Syncretic,Subject person/number marking is syncretic
eng,English,Voicing in Plosives and Fricatives,In both plosives and fricatives,Voicing contrast in both plosives and fricatives
eng,English,Plurality in Independent Personal Pronouns,Person-number stem,Person-number stem
eng,English,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,No inclusive/exclusive opposition
eng,English,Predicative Possession,'Have',Have-Possessive
eng,English,Reduplication,No productive reduplication,No productive reduplication
eng,English,Purpose Clauses,Balanced/deranked,Balanced/deranked
eng,English,Nominal and Locational Predication,Identical,Shared (i.e. identical) encoding of nominal and locational predication
eng,English,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I','We' and 'I' identical
eng,English,Exponence of Tense-Aspect-Mood Inflection,monoexponential TAM,monoexponential TAM
eng,English,SVONeg Order,No SVONeg,SVO but SVONeg does not occur
eng,English,Antipassive Constructions,No antipassive,No antipassive
eng,English,Zero Copula for Predicate Nominals,Impossible,Zero copula is impossible
eng,English,Prefixing vs. Suffixing in Inflectional Morphology,Strongly suffixing,Predominantly suffixing
eng,English,Number of Non-Derived Basic Colour Categories,6,6 categories
eng,English,Para-Linguistic Usages of Clicks,Affective meanings,Clicks may express affective but not logical meanings
eng,English,Periphrastic Causative Constructions,Sequential but no purposive,Sequential type but no purposive type
eng,English,Occurrence of Nominal Plurality,"All nouns, always obligatory","Plural in all nouns, always obligatory"
eng,English,Position of Pronominal Possessive Affixes,No possessive affixes,No possessive affixes
eng,English,Locus of Marking: Whole-language Typology,Dependent-marking,Consistently dependent-marking
eng,English,Locus of Marking in the Clause,Dependent marking,P is dependent-marked
eng,English,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Tense-aspect suffixes
eng,English,Systems of Gender Assignment,Semantic,Semantic assignment
eng,English,Suppletion According to Tense and Aspect,Tense,Suppletion according to tense
eng,English,Reciprocal Constructions,Distinct from reflexive,All reciprocal constructions are formally distinct from reflexive constructions.
eng,English,Sex-based and Non-sex-based Gender Systems,Sex-based,Sex-based gender system
eng,English,Comparative Constructions,Particle,Particle Comparative
eng,English,Position of Polar Question Particles,No question particle,No question particle
eng,English,Number of Genders,Three,Three
eng,English,Passive Constructions,Present,There is a passive construction
eng,English,Minor morphological means of signaling negation,,"No negative tone, infix or stem change"
eng,English,Verbal Number and Suppletion,,No singular-(dual)-plural pairs/triples
eng,English,The Associative Plural,No associative plural,Associative plural absent
eng,English,Third Person Zero of Verbal Person Marking,No zero realization,No zero realization of third person S forms
eng,English,Presence of Uncommon Consonants,'Th' sounds,'Th' sounds
eng,English,Zero Marking of A and P Arguments,Non-zero marking,Non-zero marking
eng,English,Locus of Marking in Possessive Noun Phrases,Dependent marking,Possessor is dependent-marked
eng,English,Suppletion in Imperatives and Hortatives,None (= no suppletive imperatives reported in the reference material),None (= no suppletive imperatives reported in the reference material)
eng,English,Green and Blue,Green vs. blue,Green and blue
eng,English,Person Marking on Adpositions,No person marking,Adpositions without person marking
eng,English,Consonant Inventories,Average,Average
eng,English,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Immed preverbal,Immediately preverbal
eng,English,Order of Degree Word and Adjective,Degree word-Adjective,Degree word precedes adjective (DegAdj)
eng,English,Preverbal Negative Morphemes,NegV,Preverbal negative word
eng,English,"Position of Negative Word With Respect to Subject, Object, and Verb",SNegVO,SNegVO
eng,English,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Pronominal subjects are expressed by pronouns in subject position that are normally if not obligatorily present
eng,English,M in Second Person Singular,No m in second person singular,No m in second person singular
eng,English,Position of Interrogative Phrases in Content Questions,Initial interrogative phrase,Interrogative phrases obligatorily initial
eng,English,'Want' Complement Subjects,Subject is left implicit,The complement subject is left implicit
eng,English,Ditransitive Constructions: The Verb 'Give',Mixed,Mixed
eng,English,Order of Adverbial Subordinator and Clause,Initial subordinator word,Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause
eng,English,Order of Person Markers on the Verb,A and P do not or do not both occur on the verb,A and P do not or do not both occur on the verb
eng,English,The Morphological Imperative,No second-person imperatives,The language has no morphologically dedicated second-person imperatives at all
eng,English,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,VO and Prepositions,Verb-object and prepositional (VO&Prep)
eng,English,Order of Negative Morpheme and Verb,NegV,NegV
eng,English,Alignment of Case Marking of Full Noun Phrases,Neutral,Neutral
eng,English,Alignment of Verbal Person Marking,Accusative,Accusative alignment
eng,English,Utterance Complement Clauses,Balanced,Balanced
eng,English,Nonperiphrastic Causative Constructions,Morphological but no compound,Morphological type but no compound type
eng,English,Hand and Arm,Different,"Differentiation: one word denotes 'hand' and another, different word denotes 'arm'"
eng,English,Negative Morphemes,Negative particle,Negative particle
eng,English,Subtypes of Asymmetric Standard Negation,A/Cat,In other grammatical categories: Subtype A/Cat
eng,English,Rhythm Types,Trochaic,Trochaic: left-hand syllable in the foot is strong
eng,English,Numeral Bases,Decimal,Decimal
eng,English,NegSVO Order,No NegSVO,SVO but NegSVO does not occur
eng,English,Order of Numeral and Noun,Numeral-Noun,Numeral precedes noun (NumN)
eng,English,Predicative Adjectives,Nonverbal encoding,Predicative adjectives have nonverbal encoding
eng,English,The Position of Negative Morphemes in SVO Languages,SNegVO,SNegVO
eng,English,Indefinite Pronouns,Generic-noun-based,Generic-noun-based indefinites
eng,English,Red and Yellow,Red vs. yellow,Red and yellow
eng,English,Distributive Numerals,No distributive numerals,No distributive numerals
eng,English,M-T Pronouns,No M-T pronouns,No M-T pronouns
eng,English,Intensifiers and Reflexive Pronouns,Identical,Intensifiers and reflexive pronouns are formally identical
eng,English,Position of Case Affixes,No case affixes or adpositional clitics,Neither case affixes nor adpositional clitics
eng,English,N-M Pronouns,No N-M pronouns,No N-M pronouns
eng,English,Perfective/Imperfective Aspect,No grammatical marking,No grammatical marking of perfective/imperfective distinction
eng,English,Vowel Quality Inventories,Large (7-14),Large vowel inventory (7-14)
eng,English,The Future Tense,No inflectional future,No inflectional marking of future/non-future distinction
eng,English,SVNegO Order,No SVNegO,"SVO, but SVNegO does not occur"
eng,English,Order of Adjective and Noun,Adjective-Noun,Modifying adjective precedes noun (AdjN)
eng,English,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative","Formally similar, not involving interrogative expression"
eng,English,Semantic Distinctions of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender distinctions in 3rd person singular only
eng,English,Uvular Consonants,,No uvulars
eng,English,Coding of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,"Order of Object, Oblique, and Verb",VOX,Verb-object-oblique (VOX)
eng,English,Order of Adposition and Noun Phrase,Prepositions,Prepositions
eng,English,Comitatives and Instrumentals,Identity,Identity
eng,English,Postverbal Negative Morphemes,,No postverbal negative morpheme
eng,English,Politeness Distinctions in Pronouns,No politeness distinction,Second person pronouns encode no politeness distinction
eng,English,Order of Genitive and Noun,No dominant order,Both orders occur with neither order dominant
eng,English,SNegVO Order,Word&NoDoubleNeg,"Separate word, no double negation"
eng,English,Order of Demonstrative and Noun,Demonstrative-Noun,Demonstrative word precedes noun (DemN)
eng,English,Indefinite Articles,Indefinite word distinct from 'one',Indefinite word distinct from numeral for 'one'
eng,English,Weight Factors in Weight-Sensitive Stress Systems,Long vowel or coda consonant,Long vowel + Coda: long vowels or closed syllables
eng,English,The Optative,Inflectional optative absent,Inflectional optative absent
