Language_ID,Language_name,Parameter,Value,Description
eng,English,Predicative Possession,'Have',Have-Possessive
eng,English,Comparative Constructions,Particle,Particle Comparative
eng,English,Comparative Constructions,Particle,Particle Comparative
eng,English,Weight Factors in Weight-Sensitive Stress Systems,Long vowel or coda consonant,Long vowel + Coda: long vowels or closed syllables
eng,English,Weight Factors in Weight-Sensitive Stress Systems,Long vowel or coda consonant,Long vowel + Coda: long vowels or closed syllables
eng,English,Rhythm Types,Trochaic,Trochaic: left-hand syllable in the foot is strong
eng,English,Rhythm Types,Trochaic,Trochaic: left-hand syllable in the foot is strong
eng,English,Order of Degree Word and Adjective,Degree word-Adjective,Degree word precedes adjective (DegAdj)
eng,English,Order of Degree Word and Adjective,Degree word-Adjective,Degree word precedes adjective (DegAdj)
eng,English,Absence of Common Consonants,All present,All present
eng,English,Weight-Sensitive Stress,Right-oriented: One of the last three,Right-oriented: The antepenultimate is involved
eng,English,Absence of Common Consonants,All present,All present
eng,English,Zero Copula for Predicate Nominals,Impossible,Zero copula is impossible
eng,English,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,VO and AdjN,Verb-object and adjective-noun (VO&AdjN)
eng,English,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,VO and AdjN,Verb-object and adjective-noun (VO&AdjN)
eng,English,The Morphological Imperative,No second-person imperatives,The language has no morphologically dedicated second-person imperatives at all
eng,English,The Morphological Imperative,No second-person imperatives,The language has no morphologically dedicated second-person imperatives at all
eng,English,The Prohibitive,Normal imperative + normal negative,The prohibitive uses the verbal construction of the second singular imperative and a sentential negative strategy found in (indicative) declaratives
eng,English,The Prohibitive,Normal imperative + normal negative,The prohibitive uses the verbal construction of the second singular imperative and a sentential negative strategy found in (indicative) declaratives
eng,English,Distributive Numerals,No distributive numerals,No distributive numerals
eng,English,Distributive Numerals,No distributive numerals,No distributive numerals
eng,English,Zero Copula for Predicate Nominals,Impossible,Zero copula is impossible
eng,English,Front Rounded Vowels,,
eng,English,Weight-Sensitive Stress,Right-oriented: One of the last three,Right-oriented: The antepenultimate is involved
eng,English,Relativization on Subjects,Relative pronoun,Relative pronoun
eng,English,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Tense-aspect suffixes
eng,English,Position of Tense-Aspect Affixes,Tense-aspect suffixes,Tense-aspect suffixes
eng,English,SVNegO Order,No SVNegO,"SVO, but SVNegO does not occur"
eng,English,SVNegO Order,No SVNegO,"SVO, but SVNegO does not occur"
eng,English,'Want' Complement Subjects,Subject is left implicit,The complement subject is left implicit
eng,English,'Want' Complement Subjects,Subject is left implicit,The complement subject is left implicit
eng,English,SVONeg Order,No SVONeg,SVO but SVONeg does not occur
eng,English,SVONeg Order,No SVONeg,SVO but SVONeg does not occur
eng,English,Position of Pronominal Possessive Affixes,No possessive affixes,No possessive affixes
eng,English,Relativization on Subjects,Relative pronoun,Relative pronoun
eng,English,Position of Pronominal Possessive Affixes,No possessive affixes,No possessive affixes
eng,English,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative","Formally similar, not involving interrogative expression"
eng,English,Relativization on Obliques,Relative pronoun,Relative Pronoun Strategy
eng,English,Relativization on Obliques,Relative pronoun,Relative Pronoun Strategy
eng,English,Uvular Consonants,,No uvulars
eng,English,Uvular Consonants,,No uvulars
eng,English,Numeral Classifiers,Absent,Numeral classifiers are absent
eng,English,Numeral Classifiers,Absent,Numeral classifiers are absent
eng,English,Fixed Stress Locations,No fixed stress,No fixed stress (mostly weight-sensitive stress)
eng,English,Fixed Stress Locations,No fixed stress,No fixed stress (mostly weight-sensitive stress)
eng,English,Conjunctions and Universal Quantifiers,"Formally similar, without interrogative","Formally similar, not involving interrogative expression"
eng,English,Front Rounded Vowels,,
eng,English,Nominal and Locational Predication,Identical,Shared (i.e. identical) encoding of nominal and locational predication
eng,English,Nominal and Locational Predication,Identical,Shared (i.e. identical) encoding of nominal and locational predication
eng,English,Exponence of Tense-Aspect-Mood Inflection,monoexponential TAM,monoexponential TAM
eng,English,Exponence of Tense-Aspect-Mood Inflection,monoexponential TAM,monoexponential TAM
eng,English,Order of Genitive and Noun,No dominant order,Both orders occur with neither order dominant
eng,English,Negative Indefinite Pronouns and Predicate Negation,Mixed behaviour,Negative indefinites show mixed behaviour
eng,English,Negative Indefinite Pronouns and Predicate Negation,Mixed behaviour,Negative indefinites show mixed behaviour
eng,English,The Optative,Inflectional optative absent,Inflectional optative absent
eng,English,Order of Genitive and Noun,No dominant order,Both orders occur with neither order dominant
eng,English,Postnominal relative clauses,Noun-Relative clause (NRel) dominant,Noun-Relative clause (NRel) dominant
eng,English,Postnominal relative clauses,Noun-Relative clause (NRel) dominant,Noun-Relative clause (NRel) dominant
eng,English,Exponence of Selected Inflectional Formatives,No case,No case
eng,English,Inflectional Synthesis of the Verb,2-3 categories per word,2-3 categories per word
eng,English,Order of Adjective and Noun,Adjective-Noun,Modifying adjective precedes noun (AdjN)
eng,English,Order of Adjective and Noun,Adjective-Noun,Modifying adjective precedes noun (AdjN)
eng,English,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Additive-quantitatively asymmetrical case-marking
eng,English,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,Additive-quantitatively asymmetrical case-marking
eng,English,Locus of Marking in the Clause,Dependent marking,P is dependent-marked
eng,English,Locus of Marking in the Clause,Dependent marking,P is dependent-marked
eng,English,Situational Possibility,Verbal constructions,"The language cannot express situational possibility with affixes on verbs, but with verbal constructions"
eng,English,Subtypes of Asymmetric Standard Negation,A/Cat,In other grammatical categories: Subtype A/Cat
eng,English,Subtypes of Asymmetric Standard Negation,A/Cat,In other grammatical categories: Subtype A/Cat
eng,English,Inflectional Synthesis of the Verb,2-3 categories per word,2-3 categories per word
eng,English,The Optative,Inflectional optative absent,Inflectional optative absent
eng,English,Exponence of Selected Inflectional Formatives,No case,No case
eng,English,Polar Questions,Interrogative word order,Interrogative word order
eng,English,Ordinal Numerals,"First, second, three-th",Second: 'First' and a small set of consecutive higher ordinal numerals are suppletive
eng,English,Ordinal Numerals,"First, second, three-th",Second: 'First' and a small set of consecutive higher ordinal numerals are suppletive
eng,English,Presence of Uncommon Consonants,'Th' sounds,'Th' sounds
eng,English,Presence of Uncommon Consonants,'Th' sounds,'Th' sounds
eng,English,Consonant Inventories,Average,Average
eng,English,Imperative-Hortative Systems,Neither type of system,The language has neither a maximal nor a minimal system
eng,English,Imperative-Hortative Systems,Neither type of system,The language has neither a maximal nor a minimal system
eng,English,Consonant Inventories,Average,Average
eng,English,Fusion of Selected Inflectional Formatives,Exclusively concatenative,Exclusively concatenative
eng,English,Fusion of Selected Inflectional Formatives,Exclusively concatenative,Exclusively concatenative
eng,English,Predicative Adjectives,Nonverbal encoding,Predicative adjectives have nonverbal encoding
eng,English,Predicative Adjectives,Nonverbal encoding,Predicative adjectives have nonverbal encoding
eng,English,M in First Person Singular,m in first person singular,m in first person singular
eng,English,Predicative Possession,'Have',Have-Possessive
eng,English,Alignment of Case Marking of Full Noun Phrases,Neutral,Neutral
eng,English,Alignment of Case Marking of Full Noun Phrases,Neutral,Neutral
eng,English,Comitatives and Instrumentals,Identity,Identity
eng,English,Comitatives and Instrumentals,Identity,Identity
eng,English,Position of Case Affixes,No case affixes or adpositional clitics,Neither case affixes nor adpositional clitics
eng,English,Position of Case Affixes,No case affixes or adpositional clitics,Neither case affixes nor adpositional clitics
eng,English,Polar Questions,Interrogative word order,Interrogative word order
eng,English,Purpose Clauses,Balanced/deranked,Balanced/deranked
eng,English,Situational Possibility,Verbal constructions,"The language cannot express situational possibility with affixes on verbs, but with verbal constructions"
eng,English,Purpose Clauses,Balanced/deranked,Balanced/deranked
eng,English,SNegVO Order,Word&NoDoubleNeg,"Separate word, no double negation"
eng,English,Tone,No tones,No tones
eng,English,"Order of Object, Oblique, and Verb",VOX,Verb-object-oblique (VOX)
eng,English,Para-Linguistic Usages of Clicks,Affective meanings,Clicks may express affective but not logical meanings
eng,English,Number of Basic Colour Categories,11,More than 10 categories
eng,English,Number of Basic Colour Categories,11,More than 10 categories
eng,English,Para-Linguistic Usages of Clicks,Affective meanings,Clicks may express affective but not logical meanings
eng,English,Nominal and Verbal Conjunction,Identity,Nominal and verbal conjunction are largely identical
eng,English,Nominal and Verbal Conjunction,Identity,Nominal and verbal conjunction are largely identical
eng,English,Voicing and Gaps in Plosive Systems,None missing in /p t k b d g/,/p t k b d g/
eng,English,Tone,No tones,No tones
eng,English,Voicing and Gaps in Plosive Systems,None missing in /p t k b d g/,/p t k b d g/
eng,English,Order of Adposition and Noun Phrase,Prepositions,Prepositions
eng,English,Order of Negative Morpheme and Verb,NegV,NegV
eng,English,Number of Non-Derived Basic Colour Categories,6,6 categories
eng,English,Number of Non-Derived Basic Colour Categories,6,6 categories
eng,English,Order of Negative Morpheme and Verb,NegV,NegV
eng,English,"Order of Object, Oblique, and Verb",VOX,Verb-object-oblique (VOX)
eng,English,Preverbal Negative Morphemes,NegV,Preverbal negative word
eng,English,Preverbal Negative Morphemes,NegV,Preverbal negative word
eng,English,Numeral Bases,Decimal,Decimal
eng,English,Order of Adposition and Noun Phrase,Prepositions,Prepositions
eng,English,Numeral Bases,Decimal,Decimal
eng,English,Green and Blue,Green vs. blue,Green and blue
eng,English,Tea,Words derived from Min Nan Chinese te,Words derived from Min Nan Chinese te
eng,English,Adjectives without Nouns,Marked by following word,"Adjective may occur without noun, obligatorily marked by following word"
eng,English,Adjectives without Nouns,Marked by following word,"Adjective may occur without noun, obligatorily marked by following word"
eng,English,N-M Pronouns,No N-M pronouns,No N-M pronouns
eng,English,N-M Pronouns,No N-M pronouns,No N-M pronouns
eng,English,M in Second Person Singular,No m in second person singular,No m in second person singular
eng,English,M in Second Person Singular,No m in second person singular,No m in second person singular
eng,English,M-T Pronouns,No M-T pronouns,No M-T pronouns
eng,English,M-T Pronouns,No M-T pronouns,No M-T pronouns
eng,English,Order of Adverbial Subordinator and Clause,Initial subordinator word,Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause
eng,English,Green and Blue,Green vs. blue,Green and blue
eng,English,Order of Adverbial Subordinator and Clause,Initial subordinator word,Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause
eng,English,Action Nominal Constructions,Mixed,Mixed: Several patterns in the same language
eng,English,"Genitives, Adjectives and Relative Clauses",Highly differentiated,Highly differentiated
eng,English,Red and Yellow,Red vs. yellow,Red and yellow
eng,English,Red and Yellow,Red vs. yellow,Red and yellow
eng,English,Action Nominal Constructions,Mixed,Mixed: Several patterns in the same language
eng,English,Noun Phrase Conjunction,'And' different from 'with',AND-languages: 'and' and 'with' are not identical
eng,English,Noun Phrase Conjunction,'And' different from 'with',AND-languages: 'and' and 'with' are not identical
eng,English,"Genitives, Adjectives and Relative Clauses",Highly differentiated,Highly differentiated
eng,English,Tea,Words derived from Min Nan Chinese te,Words derived from Min Nan Chinese te
eng,English,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I','We' and 'I' identical
eng,English,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,VO and Prepositions,Verb-object and prepositional (VO&Prep)
eng,English,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,VO and Prepositions,Verb-object and prepositional (VO&Prep)
eng,English,Possessive Classification,No possessive classification,No possessive classification
eng,English,Utterance Complement Clauses,Balanced,Balanced
eng,English,The Future Tense,No inflectional future,No inflectional marking of future/non-future distinction
eng,English,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Immed preverbal,Immediately preverbal
eng,English,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Immed preverbal,Immediately preverbal
eng,English,Obligatory Possessive Inflection,Absent,No obligatorily possessed nouns
eng,English,Obligatory Possessive Inflection,Absent,No obligatorily possessed nouns
eng,English,Reason Clauses,Balanced/deranked,Balanced/deranked
eng,English,Reason Clauses,Balanced/deranked,Balanced/deranked
eng,English,The Future Tense,No inflectional future,No inflectional marking of future/non-future distinction
eng,English,Utterance Complement Clauses,Balanced,Balanced
eng,English,Order of Object and Verb,VO,Object follows verb (VO)
eng,English,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,VO and NRel,Verb-object and noun-relative clause (VO&NRel)
eng,English,The Perfect,From possessive,Perfect of the 'have'-type (derived from a possessive construction)
eng,English,The Perfect,From possessive,Perfect of the 'have'-type (derived from a possessive construction)
eng,English,The Position of Negative Morphemes in SVO Languages,SNegVO,SNegVO
eng,English,The Position of Negative Morphemes in SVO Languages,SNegVO,SNegVO
eng,English,'When' Clauses,Balanced/deranked,Balanced/deranked
eng,English,'When' Clauses,Balanced/deranked,Balanced/deranked
eng,English,NegSVO Order,No NegSVO,SVO but NegSVO does not occur
eng,English,NegSVO Order,No NegSVO,SVO but NegSVO does not occur
eng,English,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,VO and NRel,Verb-object and noun-relative clause (VO&NRel)
eng,English,Position of Polar Question Particles,No question particle,No question particle
eng,English,Position of Polar Question Particles,No question particle,No question particle
eng,English,"Position of Negative Word With Respect to Subject, Object, and Verb",SNegVO,SNegVO
eng,English,Perfective/Imperfective Aspect,No grammatical marking,No grammatical marking of perfective/imperfective distinction
eng,English,Possessive Classification,No possessive classification,No possessive classification
eng,English,Finger and Hand,Different,"Differentiation: one word denotes 'hand' and another, different word denotes 'finger' (or, very rarely, 'fingers')"
eng,English,Finger and Hand,Different,"Differentiation: one word denotes 'hand' and another, different word denotes 'finger' (or, very rarely, 'fingers')"
eng,English,Postverbal Negative Morphemes,,No postverbal negative morpheme
eng,English,Syllable Structure,Complex,Complex syllable structure
eng,English,Syllable Structure,Complex,Complex syllable structure
eng,English,Perfective/Imperfective Aspect,No grammatical marking,No grammatical marking of perfective/imperfective distinction
eng,English,Postverbal Negative Morphemes,,No postverbal negative morpheme
eng,English,Position of Interrogative Phrases in Content Questions,Initial interrogative phrase,Interrogative phrases obligatorily initial
eng,English,The Past Tense,"Present, no remoteness distinctions",Past/non-past distinction marked; no remoteness distinction
eng,English,The Past Tense,"Present, no remoteness distinctions",Past/non-past distinction marked; no remoteness distinction
eng,English,Position of Interrogative Phrases in Content Questions,Initial interrogative phrase,Interrogative phrases obligatorily initial
eng,English,Minor morphological means of signaling negation,,"No negative tone, infix or stem change"
eng,English,Minor morphological means of signaling negation,,"No negative tone, infix or stem change"
eng,English,Hand and Arm,Different,"Differentiation: one word denotes 'hand' and another, different word denotes 'arm'"
eng,English,Hand and Arm,Different,"Differentiation: one word denotes 'hand' and another, different word denotes 'arm'"
eng,English,Number of Possessive Nouns,None reported,None reported
eng,English,Number of Possessive Nouns,None reported,None reported
eng,English,Order of Object and Verb,VO,Object follows verb (VO)
eng,English,"Position of Negative Word With Respect to Subject, Object, and Verb",SNegVO,SNegVO
eng,English,SNegVO Order,Word&NoDoubleNeg,"Separate word, no double negation"
eng,English,Locus of Marking in Possessive Noun Phrases,Dependent marking,Possessor is dependent-marked
eng,English,M in First Person Singular,m in first person singular,m in first person singular
eng,English,Symmetric and Asymmetric Standard Negation,Both,Symmetric and asymmetric standard negation: Type SymAsy
eng,English,Indefinite Pronouns,Generic-noun-based,Generic-noun-based indefinites
eng,English,Indefinite Pronouns,Generic-noun-based,Generic-noun-based indefinites
eng,English,Applicative Constructions,No applicative construction,No applicative construction
eng,English,Applicative Constructions,No applicative construction,No applicative construction
eng,English,Definite Articles,Definite word distinct from demonstrative,Definite word distinct from demonstrative
eng,English,Definite Articles,Definite word distinct from demonstrative,Definite word distinct from demonstrative
eng,English,Syncretism in Verbal Person/Number Marking,Syncretic,Subject person/number marking is syncretic
eng,English,Glottalized Consonants,No glottalized consonants,No glottalized consonants
eng,English,Coding of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,Coding of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,Vowel Quality Inventories,Large (7-14),Large vowel inventory (7-14)
eng,English,Order of Person Markers on the Verb,A and P do not or do not both occur on the verb,A and P do not or do not both occur on the verb
eng,English,Order of Person Markers on the Verb,A and P do not or do not both occur on the verb,A and P do not or do not both occur on the verb
eng,English,The Associative Plural,No associative plural,Associative plural absent
eng,English,Vowel Quality Inventories,Large (7-14),Large vowel inventory (7-14)
eng,English,Third Person Zero of Verbal Person Marking,No zero realization,No zero realization of third person S forms
eng,English,Third Person Zero of Verbal Person Marking,No zero realization,No zero realization of third person S forms
eng,English,Syncretism in Verbal Person/Number Marking,Syncretic,Subject person/number marking is syncretic
eng,English,Case Syncretism,Core cases only,Inflectional case marking is syncretic for core cases only
eng,English,Semantic Distinctions of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,Semantic Distinctions of Evidentiality,No grammatical evidentials,No grammatical evidentials
eng,English,Case Syncretism,Core cases only,Inflectional case marking is syncretic for core cases only
eng,English,Order of Relative Clause and Noun,Noun-Relative clause,Relative clause follows noun (NRel)
eng,English,Order of Relative Clause and Noun,Noun-Relative clause,Relative clause follows noun (NRel)
eng,English,Indefinite Articles,Indefinite word distinct from 'one',Indefinite word distinct from numeral for 'one'
eng,English,Indefinite Articles,Indefinite word distinct from 'one',Indefinite word distinct from numeral for 'one'
eng,English,Other Roles of Applied Objects,No applicative construction,No applicative construction
eng,English,Other Roles of Applied Objects,No applicative construction,No applicative construction
eng,English,Intensifiers and Reflexive Pronouns,Identical,Intensifiers and reflexive pronouns are formally identical
eng,English,Ditransitive Constructions: The Verb 'Give',Mixed,Mixed
eng,English,Third Person Pronouns and Demonstratives,Related for all demonstratives,Third person pronouns and demonstratives are related to all demonstratives
eng,English,Glottalized Consonants,No glottalized consonants,No glottalized consonants
eng,English,"Order of Subject, Object and Verb",SVO,Subject-verb-object (SVO)
eng,English,Productivity of the Antipassive Construction,no antipassive,no antipassive
eng,English,Intensifiers and Reflexive Pronouns,Identical,Intensifiers and reflexive pronouns are formally identical
eng,English,Productivity of the Antipassive Construction,no antipassive,no antipassive
eng,English,The Velar Nasal,No initial velar nasal,"Velar nasal, but not initially"
eng,English,Politeness Distinctions in Pronouns,No politeness distinction,Second person pronouns encode no politeness distinction
eng,English,Lateral Consonants,"/l/, no obstruent laterals","/l/, no obstruent laterals"
eng,English,Lateral Consonants,"/l/, no obstruent laterals","/l/, no obstruent laterals"
eng,English,Coding of Nominal Plurality,Plural suffix,Plural suffix
eng,English,Passive Constructions,Present,There is a passive construction
eng,English,Passive Constructions,Present,There is a passive construction
eng,English,Plurality in Independent Personal Pronouns,Person-number stem,Person-number stem
eng,English,Coding of Nominal Plurality,Plural suffix,Plural suffix
eng,English,Order of Demonstrative and Noun,Demonstrative-Noun,Demonstrative word precedes noun (DemN)
eng,English,Politeness Distinctions in Pronouns,No politeness distinction,Second person pronouns encode no politeness distinction
eng,English,Occurrence of Nominal Plurality,"All nouns, always obligatory","Plural in all nouns, always obligatory"
eng,English,Occurrence of Nominal Plurality,"All nouns, always obligatory","Plural in all nouns, always obligatory"
eng,English,Reciprocal Constructions,Distinct from reflexive,All reciprocal constructions are formally distinct from reflexive constructions.
eng,English,Reciprocal Constructions,Distinct from reflexive,All reciprocal constructions are formally distinct from reflexive constructions.
eng,English,Order of Demonstrative and Noun,Demonstrative-Noun,Demonstrative word precedes noun (DemN)
eng,English,Plurality in Independent Personal Pronouns,Person-number stem,Person-number stem
eng,English,Suppletion in Imperatives and Hortatives,None (= no suppletive imperatives reported in the reference material),None (= no suppletive imperatives reported in the reference material)
eng,English,Systems of Gender Assignment,Semantic,Semantic assignment
eng,English,The Velar Nasal,No initial velar nasal,"Velar nasal, but not initially"
eng,English,Number of Genders,Three,Three
eng,English,"Order of Subject, Object and Verb",SVO,Subject-verb-object (SVO)
eng,English,Number of Genders,Three,Three
eng,English,Sex-based and Non-sex-based Gender Systems,Sex-based,Sex-based gender system
